participant_id,Cognitive Reflection and Recognition of Political Bias,Skepticism of Data Veracity and Methodology,Affective Polarization and the National Political Climate,Study Usability and User Experience,Survey Participation and Engagement
69bdd97d5b3293a33f270579,0,0,1,0,0
69bddb6b5b3293a33f27059a,0,0,0,0,1
69bddda35b3293a33f2705c8,0,0,0,1,0
69bdde225b3293a33f2705e9,0,0,1,0,0
69bde15e5b3293a33f2706bb,0,1,0,0,0
69bde2d75b3293a33f270708,0,0,0,1,0
69bde35f5b3293a33f270732,0,0,0,0,0
69bde3d05b3293a33f27075f,0,0,0,0,0
69bde4e85b3293a33f2707a9,0,0,0,0,0
69bde6e45b3293a33f270820,0,0,0,0,0
69bde70a5b3293a33f270832,0,0,0,0,1
69bde9245b3293a33f270891,0,0,0,0,1
69bdeb885b3293a33f2708ea,0,0,0,0,0
69bdec485b3293a33f2708fb,0,0,0,1,0
69bdef695b3293a33f270941,0,0,0,1,0
69bdf00a5b3293a33f270956,0,0,0,0,0
69bdf0885b3293a33f270965,0,0,0,0,0
69bdf1f95b3293a33f270992,0,0,0,0,0
69bdf5125b3293a33f2709d9,0,0,0,0,1
69be04045b3293a33f270a78,0,0,0,0,0
69be06985b3293a33f270a9a,0,1,0,0,0
69be0d405b3293a33f270b35,0,0,0,1,0
69be94c65b3293a33f270b89,0,0,0,1,0
69be94d85b3293a33f270b93,0,0,0,0,1
69be94e25b3293a33f270b99,0,0,0,0,0
69be958e5b3293a33f270bd5,0,0,0,0,0
69be96075b3293a33f270c08,0,0,0,0,0
69be97075b3293a33f270c71,0,0,0,0,0
69be972e5b3293a33f270c82,0,0,0,0,0
69be97b85b3293a33f270ccf,0,0,1,0,0
69be97fb5b3293a33f270ce1,1,0,0,0,0
69be99c15b3293a33f270d8b,0,0,0,0,0
69be9aab5b3293a33f270dd1,0,1,0,1,0
69be9b245b3293a33f270df0,0,1,0,0,0
69be9b5a5b3293a33f270e0b,0,0,0,0,1
69be9bc05b3293a33f270e24,0,0,0,0,0
69be9ccc5b3293a33f270e6a,1,1,1,0,0
69be9d5c5b3293a33f270e8d,0,0,0,0,0
69be9da55b3293a33f270eaa,0,0,0,0,0
69be9ebe5b3293a33f270efe,0,0,1,0,0
69be9ff25b3293a33f270f5d,0,0,0,0,1
69bea1fa5b3293a33f270fe7,0,0,1,0,0
69bea2365b3293a33f270ffc,0,0,0,0,0
69bea2aa5b3293a33f27102c,0,0,0,0,0
69bea2b05b3293a33f271031,1,0,1,0,0
69bea35c5b3293a33f27106f,0,0,0,0,0
69bea4ad5b3293a33f2710cd,0,1,0,0,0
69bea5885b3293a33f2710f1,0,0,0,0,0
69bea5d95b3293a33f271113,0,0,1,0,0
69bea61e5b3293a33f27112d,1,0,0,0,0
69bea70c5b3293a33f271172,0,0,0,0,0
69bea7e95b3293a33f2711b8,0,1,0,0,0
69bea7ee5b3293a33f2711bd,0,0,0,0,0
69bea9a45b3293a33f271234,0,1,0,0,0
69beac795b3293a33f2712e4,0,1,0,0,0
69beacd35b3293a33f271304,0,0,0,1,0
69beaf9e5b3293a33f2713a9,1,0,0,0,0
69beafef5b3293a33f2713bc,0,0,0,0,0
69beb2185b3293a33f27143d,0,0,0,0,1
69beb24f5b3293a33f27144a,0,0,0,0,0
69beb3ab5b3293a33f27148c,0,0,0,0,0
69bebc895b3293a33f271585,0,0,0,1,0
69bebfc65b3293a33f2715f3,0,0,0,0,0
69bec1e15b3293a33f271631,0,0,0,0,0
69bec7575b3293a33f27168c,0,0,0,0,0
69bec7ab5b3293a33f271696,0,0,1,0,0
69bec89a5b3293a33f2716a2,0,1,0,0,0
69beca915b3293a33f2716ae,0,0,0,0,0
69becb775b3293a33f2716c4,0,0,0,1,0
69bed3f45b3293a33f271721,0,1,0,0,0
69bed9665b3293a33f271772,0,0,0,0,0
69beda2a5b3293a33f27177d,0,0,0,0,0
69bedbc15b3293a33f271792,0,0,0,0,1
69bedf385b3293a33f2717b6,0,0,0,0,0
69bf25735b3293a33f27180c,0,0,1,0,0
69bf261a5b3293a33f271821,0,0,0,0,1
69bf26d15b3293a33f27183f,0,0,1,0,0
69bf279d5b3293a33f271898,0,0,0,0,1
69bf27fd5b3293a33f2718b7,0,0,0,0,1
69bf28675b3293a33f2718cd,0,0,0,0,0
69bf28f45b3293a33f2718fb,0,0,0,0,1
69bf29795b3293a33f27191c,0,0,0,0,1
69bf29a25b3293a33f27192d,0,0,0,0,1
69bf29ec5b3293a33f271941,0,0,0,0,1
69bf2acb5b3293a33f2719a0,1,0,0,0,0
69bf2b635b3293a33f2719dd,0,0,0,0,1
69bf2c945b3293a33f271a48,0,0,0,0,1
69bf2d665b3293a33f271aa6,0,0,0,0,1
69bf2dd15b3293a33f271ace,0,0,0,1,1
69bf306b5b3293a33f271ba2,1,0,1,0,0
69bf314c5b3293a33f271bd6,0,1,0,0,0
69bf332f5b3293a33f271c77,0,0,0,1,0
69bf34165b3293a33f271cb6,0,0,0,0,0
69bf34205b3293a33f271cbf,0,0,0,0,1
69bf3542081d66e66aed6ca8,0,0,0,0,1
69bf37ba081d66e66aed6d22,0,0,0,0,0
69bf3abc081d66e66aed6dab,0,1,0,0,0
69bf3acd081d66e66aed6db5,0,0,0,0,1
69bf3cb3081d66e66aed6de7,0,1,0,0,0
69bf3d10081d66e66aed6df6,0,0,0,1,0
69bf3e68081d66e66aed6e21,0,0,0,1,0
69bf3f9d081d66e66aed6e43,0,0,0,0,1
69bf4257081d66e66aed6e87,0,0,0,0,1
69bf435a081d66e66aed6eb0,0,0,0,0,1
69bf4efc081d66e66aed6faf,0,0,0,0,1
69bf5109081d66e66aed6fbd,0,0,0,0,1
69bf5735081d66e66aed7011,0,0,0,0,1
69bf596b081d66e66aed7032,1,0,1,0,0
69bf5d43081d66e66aed706e,1,0,0,0,0
69bf5e4f081d66e66aed7087,0,0,0,0,1
69bf5ed3081d66e66aed7091,0,1,0,0,0
69bf5f40081d66e66aed709d,1,0,0,0,0
69bf6039081d66e66aed70c5,0,0,0,0,1
69bf6192081d66e66aed70ee,0,0,0,0,0
69bf6823081d66e66aed7161,0,0,1,0,0
69bf749e081d66e66aed71aa,1,0,0,0,0
69bf8ce7081d66e66aed71fc,0,0,0,0,1
69bf92a9081d66e66aed7214,0,0,1,0,0
69bfa790081d66e66aed7258,1,0,0,1,0
69bfd70a081d66e66aed72cb,0,0,0,0,0
69bff35b081d66e66aed7321,0,0,0,0,1
69bffad9081d66e66aed7349,0,0,0,0,1
69bffe42081d66e66aed7363,0,0,0,0,1
69c00aa1081d66e66aed73c1,0,0,0,1,0
69c00b3c081d66e66aed73c8,0,0,0,0,1
69c019e7081d66e66aed7444,0,0,0,0,1
69c01aee081d66e66aed744c,0,0,0,0,1
